ENSG00000198695	MT-ND6
ENSG00000198712	MT-CO2
ENSG00000198727	MT-CYB
ENSG00000198763	MT-ND2
ENSG00000198786	MT-ND5
ENSG00000198804	MT-CO1
ENSG00000198840	MT-ND3
ENSG00000198886	MT-ND4
ENSG00000198888	MT-ND1
ENSG00000198899	MT-ATP6
ENSG00000198938	MT-CO3
ENSG00000212907	MT-ND4L
ENSG00000228253	MT-ATP8
