ENSRNOG00000029042	Mt-nd6
ENSRNOG00000029707	Mt-nd4
ENSRNOG00000029971	Mt-nd5
ENSRNOG00000030371	Mt-co2
ENSRNOG00000030644	Mt-nd1
ENSRNOG00000030700	Mt-cox3
ENSRNOG00000031033	Mt-nd2
ENSRNOG00000031053	Mt-nd4l
ENSRNOG00000031766	Mt-cyb
ENSRNOG00000031979	Mt-atp6
ENSRNOG00000033299	Mt-atp8
ENSRNOG00000033615	Mt-nd3
ENSRNOG00000034234	Mt-co1
