ENSG00000278081	RPS9
ENSG00000280858	RPL7A
ENSG00000281309	SURF6
ENSG00000231500	RPS18
ENSG00000185088	RPS27L
ENSG00000143314	MRPL24
ENSG00000115364	MRPL19
ENSG00000132676	DAP3
ENSG00000177954	RPS27
ENSG00000174444	RPL4
ENSG00000167881	SRP68
ENSG00000274626	RPS9
ENSG00000277359	RPS9
ENSG00000185414	MRPL30
ENSG00000114867	EIF4G1
ENSG00000143436	MRPL9
ENSG00000142534	RPS11
ENSG00000204248	COL11A2
ENSG00000071242	RPS6KA2
ENSG00000162244	RPL29
ENSG00000198755	RPL10A
ENSG00000089154	GCN1
ENSG00000168066	SF1
ENSG00000197728	RPS26
ENSG00000135829	DHX9
ENSG00000120333	MRPS14
ENSG00000243147	MRPL33
ENSG00000135900	MRPL44
ENSG00000267855	NDUFA7
ENSG00000100823	APEX1
ENSG00000037241	RPL26L1
ENSG00000112306	RPS12
ENSG00000112651	MRPL2
ENSG00000105372	RPS19
ENSG00000146223	RPL7L1
ENSG00000140988	RPS2
ENSG00000108298	RPL19
ENSG00000122085	MTERF4
ENSG00000169288	MRPL1
ENSG00000106591	MRPL32
ENSG00000142937	RPS8
ENSG00000198208	RPS6KL1
ENSG00000122026	RPL21
ENSG00000171421	MRPL36
ENSG00000274005	RPS9
ENSG00000115268	RPS15
ENSG00000226111	MRPS18B
ENSG00000108256	NUFIP2
ENSG00000262814	MRPL12
ENSG00000089009	RPL6
ENSG00000172071	EIF2AK3
ENSG00000089157	RPLP0
ENSG00000284770	TBCE
ENSG00000140986	RPL3L
ENSG00000107929	LARP4B
ENSG00000083845	RPS5
ENSG00000198918	RPL39
ENSG00000172172	MRPL13
ENSG00000071082	RPL31
ENSG00000285053	TBCE
ENSG00000182154	MRPL41
ENSG00000074071	MRPS34
ENSG00000241343	RPL36A
ENSG00000257529	RPL36A-HNRNPH2
ENSG00000112110	MRPL18
ENSG00000122406	RPL5
ENSG00000165502	RPL36AL
ENSG00000275323	RPS9
ENSG00000182899	RPL35A
ENSG00000136897	MRPL50
ENSG00000178694	NSUN3
ENSG00000142541	RPL13A
ENSG00000102738	MRPS31
ENSG00000165792	METTL17
ENSG00000235708	COL11A2
ENSG00000136942	RPL35
ENSG00000128626	MRPS12
ENSG00000108107	RPL28
ENSG00000090263	MRPS33
ENSG00000111639	MRPL51
ENSG00000188536	HBA2
ENSG00000130921	C12orf65
ENSG00000127022	CANX
ENSG00000162910	MRPL55
ENSG00000116898	MRPS15
ENSG00000131469	RPL27
ENSG00000048544	MRPS10
ENSG00000168724	DNAJC21
ENSG00000159111	MRPL10
ENSG00000143486	EIF2D
ENSG00000116221	MRPL37
ENSG00000170889	RPS9
ENSG00000122140	MRPS2
ENSG00000086504	MRPL28
ENSG00000063177	RPL18
ENSG00000148296	SURF6
ENSG00000125691	RPL23
ENSG00000114686	MRPL3
ENSG00000061794	MRPS35
ENSG00000266472	MRPS21
ENSG00000206172	HBA1
ENSG00000082516	GEMIN5
ENSG00000129824	RPS4Y1
ENSG00000166902	MRPL16
ENSG00000105364	MRPL4
ENSG00000198015	MRPL42
ENSG00000204221	WDR46
ENSG00000062582	MRPS24
ENSG00000167526	RPL13
ENSG00000121766	ZCCHC17
ENSG00000125901	MRPS26
ENSG00000213741	RPS29
ENSG00000129245	FXR2
ENSG00000175756	AURKAIP1
ENSG00000083635	NUFIP1
ENSG00000172586	CHCHD1
ENSG00000143947	RPS27A
ENSG00000214026	MRPL23
ENSG00000137818	RPLP1
ENSG00000236222	WDR46
ENSG00000102081	FMR1
ENSG00000180992	MRPL14
ENSG00000229861	MRPS18B
ENSG00000227420	MRPS18B
ENSG00000096080	MRPS18A
ENSG00000174547	MRPL11
ENSG00000203624	MRPS18B
ENSG00000102317	RBM3
ENSG00000165496	RPL10L
